Rank,RatingTomatometer,Title,No..of.Reviews,year,html_suffix
5,100%,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. (1999)",40,1999,/m/mr_death_the_rise_and_fall_of_fred_a_leuchter_jr/
6,94%,Three Kings (1999),129,1999,/m/three_kings/
7,96%,The Straight Story (1999),89,1999,/m/straight_story/
8,93%,Being John Malkovich (1999),123,1999,/m/being_john_malkovich/
9,92%,Election (1999),105,1999,/m/election/
10,92%,Princess Mononoke (1999),105,1999,/m/princess_mononoke_1999/
11,88%,American Beauty (1999),180,1999,/m/american_beauty/
12,93%,The Limey (1999),80,1999,/m/limey/
13,93%,Run Lola Run (1999),80,1999,/m/run_lola_run/
14,94%,American Movie (1999),47,1999,/m/american_movie/
15,90%,Galaxy Quest (1999),115,1999,/m/galaxy_quest/
16,92%,Go (1999),72,1999,/m/1087053-go/
17,87%,The Matrix (1999),141,1999,/m/matrix/
18,86%,The Blair Witch Project (1999),155,1999,/m/blair_witch_project/
19,90%,October Sky (1999),73,1999,/m/october_sky/
20,88%,Tarzan (1999),104,1999,/m/tarzan/
21,89%,Topsy-Turvy (1999),84,1999,/m/topsyturvy/
22,91%,Buena Vista Social Club (1999),44,1999,/m/1087935-buena_vista_social_club/
23,85%,The Sixth Sense (1999),149,1999,/m/sixth_sense/
24,90%,Show Me Love (1999),40,1999,/m/show_me_love/
25,90%,Girl on the Bridge (La Fille sur le Pont) (1999),40,1999,/m/girl_on_the_bridge/
26,88%,Boys Don't Cry (1999),76,1999,/m/boys_dont_cry/
27,89%,Himalaya (L'Enfance d'un Chef) (Caravan) (1999),53,1999,/m/himalaya/
28,84%,Magnolia (1999),141,1999,/m/magnolia/
29,88%,Felicia's Journey (1999),41,1999,/m/felicias_journey/
30,83%,The Talented Mr. Ripley (1999),127,1999,/m/talented_mr_ripley/
31,87%,Liberty Heights (1999),46,1999,/m/liberty_heights/
32,86%,Cookie's Fortune (1999),56,1999,/m/cookies_fortune/
33,83%,The Hurricane (1999),113,1999,/m/1093641-hurricane/
34,85%,An Ideal Husband (1999),65,1999,/m/1091577-ideal_husband/
35,86%,Trekkies (1999),42,1999,/m/trekkies/
36,83%,Notting Hill (1999),98,1999,/m/notting_hill/
37,85%,Abre los Ojos (1999),46,1999,/m/abre_los_ojos/
38,79%,Fight Club (1999),162,1999,/m/fight_club/
39,80%,The Green Mile (1999),132,1999,/m/green_mile/
40,81%,Bowfinger (1999),109,1999,/m/bowfinger/
41,81%,"South Park: Bigger, Longer & Uncut (1999)",94,1999,/m/south_park_bigger_longer_and_uncut/
42,82%,Tumbleweeds (1999),67,1999,/m/1093901-tumbleweeds/
43,82%,Beyond the Mat (1999),66,1999,/m/beyond_the_mat/
44,79%,Office Space (1999),96,1999,/m/office_space/
45,81%,"Happy, Texas (1999)",52,1999,/m/happy_texas/
46,80%,Audition (�dishon) (1999),70,1999,/m/audition_1999/
47,81%,Jesus' Son (1999),47,1999,/m/jesus_son/
48,74%,Eyes Wide Shut (1999),146,1999,/m/eyes_wide_shut/
49,78%,Sweet and Lowdown (1999),60,1999,/m/sweet_and_lowdown/
50,78%,Get Real (1999),46,1999,/m/get_real/
51,78%,Twin Falls Idaho (1999),45,1999,/m/twin_falls_idaho/
52,76%,Mansfield Park (1999),68,1999,/m/1093843-mansfield_park/
53,77%,The Adventures of Elmo in Grouchland (1999),43,1999,/m/adventures_of_elmo_in_grouchland/
54,76%,"Lock, Stock and Two Smoking Barrels (1999)",59,1999,/m/lock_stock_and_two_smoking_barrels/
55,75%,Besieged (1999),48,1999,/m/besieged/
56,71%,The Cider House Rules (1999),111,1999,/m/cider_house_rules/
57,71%,Bringing Out the Dead (1999),105,1999,/m/bringing_out_the_dead/
58,74%,The Red Violin (Le violon rouge) (1999),42,1999,/m/the_red_violin/
59,72%,The Best Man (1999),71,1999,/m/1093551-best_man/
60,73%,The Dinner Game (Le Dîner de cons) (1999),45,1999,/m/dinner_game/
61,70%,The Thomas Crown Affair (1999),99,1999,/m/thomas_crown_affair_the/
62,71%,Existenz (1999),63,1999,/m/existenz/
63,69%,Analyze This (1999),101,1999,/m/analyze_this/
64,70%,Dick (1999),71,1999,/m/1090805-dick/
65,67%,Dogma (1999),126,1999,/m/dogma/
66,67%,Sleepy Hollow (1999),126,1999,/m/sleepy_hollow/
67,67%,Stir of Echoes (1999),103,1999,/m/stir_of_echoes/
68,68%,Titus (1999),75,1999,/m/titus/
69,67%,William Shakespeare's 'A Midsummer Night's Dream' (1999),78,1999,/m/1090918-midsummer_nights_dream/
70,66%,Stuart Little (1999),97,1999,/m/stuart_little/
71,67%,The End of the Affair (1999),66,1999,/m/1093671-end_of_the_affair/
72,63%,Man on the Moon (1999),118,1999,/m/1093579-man_on_the_moon/
73,65%,Cradle Will Rock (1999),68,1999,/m/cradle_will_rock/
74,65%,A Map of the World (1999),55,1999,/m/map_of_the_world/
75,63%,Music of the Heart (1999),89,1999,/m/music_of_the_heart/
76,61%,American Pie (1999),123,1999,/m/american_pie/
77,62%,Arlington Road (1999),89,1999,/m/arlington_road/
78,63%,Ride With the Devil (1999),65,1999,/m/ride_with_the_devil_1999/
79,55%,Star Wars: Episode I - The Phantom Menace (1999),213,1999,/m/star_wars_episode_i_the_phantom_menace/
80,63%,Muppets From Space (1999),56,1999,/m/muppets_from_space/
81,63%,EDtv (1999),46,1999,/m/edtv/
82,60%,Mystery Men (1999),103,1999,/m/mystery_men/
83,61%,10 Things I Hate About You (1999),62,1999,/m/10_things_i_hate_about_you/
84,61%,The Wood (1999),56,1999,/m/wood/
85,58%,Blast From the Past (1999),79,1999,/m/blast_from_the_past/
86,57%,Never Been Kissed (1999),81,1999,/m/never_been_kissed/
87,56%,Deep Blue Sea (1999),91,1999,/m/1090759-deep_blue_sea/
88,56%,The Mummy (1999),84,1999,/m/1087270-mummy/
89,56%,Mumford (1999),77,1999,/m/mumford/
90,54%,"Girl, Interrupted (1999)",112,1999,/m/girl_interrupted/
91,51%,The World Is Not Enough (1999),136,1999,/m/world_is_not_enough/
92,54%,Payback (1999),74,1999,/m/1087648-payback/
93,51%,Any Given Sunday (1999),120,1999,/m/any_given_sunday/
94,55%,True Crime (1999),40,1999,/m/1084928-true_crime/
95,52%,Angela's Ashes (1999),85,1999,/m/angelas_ashes/
96,51%,Summer of Sam (1999),97,1999,/m/summer_of_sam/
97,52%,The Muse (1999),77,1999,/m/muse/
98,51%,Austin Powers: The Spy Who Shagged Me (1999),85,1999,/m/austin_powers_the_spy_who_shagged_me/
99,50%,Outside Providence (1999),74,1999,/m/outside_providence/
100,49%,Cruel Intentions (1999),78,1999,/m/cruel_intentions/
1,97%,Chicken Run (2000),170,2000,/m/chicken_run/
2,100%,Le go�t des autres (The Taste of Others) (2000),58,2000,/m/le_gout_des_autres_2000/
3,98%,Croupier (2000),55,2000,/m/croupier/
4,97%,The Life and Times of Hank Greenberg (2000),65,2000,/m/the_life_and_times_of_hank_greenberg/
5,95%,Best in Show (2000),110,2000,/m/best_in_show/
6,96%,Yi Yi (2000),78,2000,/m/yi_yi/
7,95%,You Can Count On Me (2000),101,2000,/m/you_can_count_on_me/
8,92%,Memento (2000),168,2000,/m/memento/
9,92%,Traffic (2000),155,2000,/m/1103281-traffic/
10,91%,High Fidelity (2000),164,2000,/m/1095420-high_fidelity/
11,95%,Not One Less (2000),43,2000,/m/not_one_less/
12,94%,Dark Days (2000),67,2000,/m/dark_days/
13,90%,Cast Away (2000),154,2000,/m/cast_away/
14,89%,Almost Famous (2000),166,2000,/m/almost_famous/
15,91%,Panic (2000),56,2000,/m/1104207-panic/
16,90%,Aimée & Jaguar (2000),48,2000,/m/aimee_and_jaguar/
17,88%,Exorcist: The Version You've Never Seen (2000),82,2000,/m/exorcist_the_version_youve_never_seen/
18,86%,Sexy Beast (2000),128,2000,/m/sexy_beast/
19,88%,The Widow of Saint-Pierre (The Widow of St. Pierre) (La veuve de Saint-Pierre) (2000),76,2000,/m/widow_of_st_pierre/
20,87%,Girlfight (2000),94,2000,/m/girlfight/
21,86%,State and Main (2000),115,2000,/m/state_and_main/
22,85%,The Emperor's New Groove (2000),128,2000,/m/emperors_new_groove/
23,84%,Meet the Parents (2000),146,2000,/m/meet_the_parents/
24,84%,Erin Brockovich (2000),143,2000,/m/erin_brockovich/
25,85%,Billy Elliot (2000),115,2000,/m/billy_elliot/
26,86%,The Original Kings of Comedy (2000),88,2000,/m/original_kings_of_comedy/
27,84%,Nurse Betty (2000),130,2000,/m/nurse_betty/
28,87%,Nico and Dani (Krámpack) (2000),52,2000,/m/nico_and_dani/
29,85%,Chuck & Buck (2000),86,2000,/m/chuck_and_buck/
30,86%,Battle Royale 3D (2000),44,2000,/m/battle_royale_3d/
31,83%,Thirteen Days (2000),118,2000,/m/thirteen_days/
32,86%,Chunhyangdyun (2000),42,2000,/m/chunhyangdyun_2000/
33,81%,X-Men (2000),166,2000,/m/xmen/
34,84%,George Washington (2000),61,2000,/m/1097991-george_washington/
35,81%,Shadow of the Vampire (2000),135,2000,/m/shadow_of_the_vampire/
36,84%,Merci pour le chocolat (2000),51,2000,/m/merci_pour_le_chocolat/
37,81%,Wonder Boys (2000),124,2000,/m/wonder_boys/
38,82%,Ghost Dog - The Way of the Samurai (2000),94,2000,/m/ghost_dog_the_way_of_the_samurai/
39,82%,Love and Basketball (2000),87,2000,/m/love_and_basketball/
40,82%,Fantasia 2000 (2000),82,2000,/m/fantasia_2000/
41,81%,Pollock (2000),107,2000,/m/pollock/
42,81%,The House of Mirth (2000),96,2000,/m/house_of_mirth/
43,83%,Lakeboat (2000),42,2000,/m/lakeboat/
44,79%,Shanghai Noon (2000),134,2000,/m/shanghai_noon/
45,82%,The Vertical Ray of the Sun (At the Height of Summer) (Mua he chieu thang dung) (2000),55,2000,/m/vertical_ray_of_the_sun/
46,76%,Gladiator (2000),186,2000,/m/gladiator/
47,78%,Requiem for a Dream (2000),133,2000,/m/requiem_for_a_dream/
48,77%,"O Brother, Where Art Thou? (2000)",148,2000,/m/o_brother_where_art_thou/
49,78%,Space Cowboys (2000),119,2000,/m/space_cowboys/
50,80%,The Tao of Steve (2000),49,2000,/m/tao_of_steve/
51,76%,The Contender (2000),129,2000,/m/1100998-contender/
52,78%,Keep the River on Your Right (2000),50,2000,/m/keep_the_river_on_your_right/
53,75%,Quills (2000),125,2000,/m/quills/
54,76%,The Virgin Suicides (2000),95,2000,/m/virgin_suicides/
55,74%,Finding Forrester (2000),125,2000,/m/finding_forrester/
56,73%,Remember the Titans (2000),132,2000,/m/remember_the_titans/
57,75%,Rugrats in Paris - The Movie (2000),73,2000,/m/rugrats_in_paris/
58,76%,Tigerland (2000),46,2000,/m/tigerland/
59,74%,The Big Kahuna (2000),77,2000,/m/the_big_kahuna/
60,75%,Code Unknown (Code inconnu: Récit incomplet de divers voyages) (2000),51,2000,/m/code_unknown/
61,73%,My Dog Skip (2000),82,2000,/m/my_dog_skip/
62,74%,Sunshine (2000),53,2000,/m/1097859-sunshine/
63,70%,Frequency (2000),124,2000,/m/frequency/
64,68%,Unbreakable (2000),161,2000,/m/unbreakable/
65,68%,Charlie's Angels (2000),142,2000,/m/charlies_angels/
66,69%,Keeping the Faith (2000),115,2000,/m/keeping_the_faith/
67,71%,Gangster No. 1 (2000),52,2000,/m/gangster-no-1/
68,71%,Shadow Magic (2000),49,2000,/m/shadow_magic/
69,67%,American Psycho (2000),142,2000,/m/american_psycho/
70,68%,Dancer in the Dark (2000),115,2000,/m/dancer_in_the_dark/
71,68%,U-571 (2000),115,2000,/m/u571/
72,68%,Shaft (2000),112,2000,/m/1098038-shaft/
73,70%,Grateful Dawg (2000),43,2000,/m/grateful_dawg/
74,68%,Timecode (2000),81,2000,/m/timecode/
75,67%,Boiler Room (2000),99,2000,/m/1095081-boiler_room/
76,67%,Small Time Crooks (2000),99,2000,/m/small_time_crooks/
77,68%,About Adam (2000),57,2000,/m/about_adam/
78,65%,Dinosaur (2000),122,2000,/m/1097046-dinosaur/
79,64%,The Yards (2000),95,2000,/m/yards/
80,63%,Bring It On (2000),117,2000,/m/bring_it_on/
81,63%,Chocolat (2000),115,2000,/m/1103080-chocolat/
82,64%,Anywhere but Here (2000),89,2000,/m/anywhere_but_here/
83,63%,Saving Grace (2000),89,2000,/m/1099492-saving_grace/
84,61%,The Patriot (2000),134,2000,/m/1098149-patriot/
85,63%,Wonderland (2000),70,2000,/m/wonderland_2000/
86,62%,The Claim (2000),84,2000,/m/claim/
87,62%,The Tigger Movie (2000),73,2000,/m/the-tigger-movie/
88,61%,Return to Me (2000),98,2000,/m/return_to_me/
89,61%,Der Krieger und die Kaiserin (The Princess and the Warrior) (2000),83,2000,/m/princess_and_the_warrior/
90,57%,Mission: Impossible 2 (2000),144,2000,/m/mission_impossible_2/
91,57%,The Gift (2000),119,2000,/m/1103231-gift/
92,60%,Alice et Martin (2000),43,2000,/m/alice_et_martin/
93,57%,Dr. T and the Women (2000),107,2000,/m/dr_t_and_the_women/
94,57%,Pitch Black (2000),104,2000,/m/pitch_black/
95,59%,Kikujiro (2000),49,2000,/m/kikujiro/
96,57%,Road Trip (2000),91,2000,/m/1097259-road_trip/
97,56%,Hamlet (2000),86,2000,/m/1097245-hamlet/
98,56%,Godzilla 2000 (2000),68,2000,/m/godzilla_2000/
99,53%,Dr. Seuss' How the Grinch Stole Christmas (2000),130,2000,/m/how_the_grinch_stole_christmas/
100,53%,The Family Man (2000),128,2000,/m/family_man/
1,97%,Spirited Away (2001),179,2001,/m/spirited_away/
2,96%,"Monsters, Inc. (2001)",192,2001,/m/monsters_inc/
3,97%,"Crouching Tiger, Hidden Dragon (2001)",151,2001,/m/crouching_tiger_hidden_dragon/
4,96%,The Dish (2001),98,2001,/m/dish/
5,96%,With a Friend like Harry... (2001),90,2001,/m/with_a_friend_like_harry/
6,91%,The Lord of the Rings: The Fellowship of the Ring (2001),225,2001,/m/the_lord_of_the_rings_the_fellowship_of_the_ring/
7,96%,Time Out (L' Emploi du temps) (2001),82,2001,/m/time-out-l-emploi-du-temps/
8,93%,In the Bedroom (2001),138,2001,/m/in_the_bedroom/
9,96%,I'm Going Home (2001),53,2001,/m/im_going_home/
10,93%,Spy Kids (2001),127,2001,/m/spy_kids/
11,92%,Ghost World (2001),153,2001,/m/ghost_world/
12,95%,The Endurance (2001),65,2001,/m/the-endurance/
13,95%,Lagaan: Once Upon a Time in India (2001),59,2001,/m/lagaan_once_upon_a_time_in_india/
14,92%,Y Tu Mama Tambien (2001),131,2001,/m/y_tu_mama_tambien/
15,93%,No Man's Land (2001),98,2001,/m/no_mans_land/
16,94%,Sous le sable (Under the Sand) (2001),70,2001,/m/under_the_sand/
17,94%,Last Resort (2001),70,2001,/m/last_resort_2001/
18,92%,The Devil's Backbone (El Espinazo del diablo) (2001),117,2001,/m/devils_backbone/
19,92%,Amores Perros (2001),111,2001,/m/amores_perros/
20,93%,Apocalypse Now Redux (2001),81,2001,/m/apocalypse_now_redux_2001/
21,92%,Hedwig and the Angry Inch (2001),106,2001,/m/hedwig_and_the_angry_inch/
22,92%,Dogtown and Z-Boys (2001),95,2001,/m/dogtown_and_zboys/
23,89%,Am�lie (2001),177,2001,/m/amelie/
24,92%,Startup.com (2001),93,2001,/m/startupcom/
25,88%,Shrek (2001),201,2001,/m/shrek/
26,93%,The Circle (Dayereh) (2001),60,2001,/m/the_circle_2001/
27,92%,Mostly Martha (Bella Martha) (2001),85,2001,/m/mostly_martha/
28,90%,In the Mood for Love (2001),119,2001,/m/in_the_mood_for_love_2001/
29,92%,Millennium Actress (Sennen joyû) (2001),52,2001,/m/millennium-actress/
30,90%,Iron Monkey (2001),91,2001,/m/1075984-iron_monkey/
31,90%,Together (2001),79,2001,/m/together_2001/
32,91%,Dinner Rush (2001),44,2001,/m/dinner_rush/
33,89%,Kandahar: Le soleil derrière la lune (2001),96,2001,/m/kandahar_le_soleil_derriere_la_lune/
34,90%,Divided We Fall (2001),61,2001,/m/divided_we_fall/
35,89%,The Road Home (Wo de fu qin mu qin) (2001),80,2001,/m/1108624-road_home/
36,90%,Our Song (2001),52,2001,/m/our_song/
37,86%,Gosford Park (2001),152,2001,/m/gosford_park/
38,90%,Eureka (2001),42,2001,/m/eureka_2001/
39,90%,Life And Debt (2001),42,2001,/m/life_and_debt/
40,89%,Trembling Before G-d (2001),61,2001,/m/trembling-before-gd/
41,88%,Italian for Beginners (2001),83,2001,/m/italian_for_beginners/
42,89%,Ginger Snaps (2001),55,2001,/m/ginger_snaps/
43,89%,101 Reykjavik (2001),46,2001,/m/101_reykjavik/
44,89%,Comment j'ai tué mon père (My Father and I) (2001),44,2001,/m/how_i_killed_my_father/
45,88%,Roozi ke zan shodam (The Day I Became a Woman) (2001),57,2001,/m/day_i_became_a_woman/
46,85%,Donnie Darko (2001),108,2001,/m/donnie_darko/
47,86%,The Closet (Le Placard) (2001),79,2001,/m/closet/
48,86%,Va Savoir (2001),77,2001,/m/va_savoir/
49,87%,Calle 54 (2001),47,2001,/m/calle_54/
50,85%,Nowhere in Africa (Nirgendwo in Afrika) (2001),98,2001,/m/nowhere-in-africa/
51,86%,Faithless (2001),69,2001,/m/faithless_2001/
52,83%,The Others (2001),149,2001,/m/1109257-others/
53,82%,Ocean's Eleven (2001),168,2001,/m/oceans_eleven/
54,82%,Mulholland Drive (2001),159,2001,/m/mulholland_dr/
55,85%,Rain (2001),59,2001,/m/1111741-rain/
56,83%,Thirteen Conversations About One Thing (2001),113,2001,/m/thirteen_conversations_about_one_thing/
57,80%,Harry Potter and the Sorcerer's Stone (2001),194,2001,/m/harry_potter_and_the_sorcerers_stone/
58,81%,The Man Who Wasn't There (2001),156,2001,/m/man_who_wasnt_there/
59,81%,Bridget Jones's Diary (2001),154,2001,/m/bridget_jones_diary/
60,82%,The Deep End (2001),116,2001,/m/deep_end/
61,83%,L.I.E. (2001),82,2001,/m/1106648-lie/
62,84%,Ni na bian ji dian (What Time Is It Over There?) (2001),50,2001,/m/what_time_is_it_there/
63,84%,Little Otik (2001),43,2001,/m/little_otik/
64,80%,Waking Life (2001),141,2001,/m/waking_life/
65,82%,Innocence (2001),74,2001,/m/innocence2000/
66,80%,The Business of Strangers (2001),91,2001,/m/business_of_strangers/
67,81%,Diamond Men (2001),63,2001,/m/diamond_men/
68,81%,Lumumba (2001),57,2001,/m/lumumba/
69,76%,Moulin Rouge! (2001),193,2001,/m/1107863-moulin_rouge/
70,79%,Iris (2001),109,2001,/m/1111227-iris/
71,81%,Jump Tomorrow (2001),54,2001,/m/jump_tomorrow/
72,75%,A Beautiful Mind (2001),204,2001,/m/beautiful_mind/
73,78%,The Pledge (2001),121,2001,/m/1104203-pledge/
74,76%,Black Hawk Down (2001),172,2001,/m/black_hawk_down/
75,78%,Tape (2001),98,2001,/m/tape/
76,77%,The Tailor of Panama (2001),116,2001,/m/tailor_of_panama/
77,73%,A.I. Artificial Intelligence (2001),190,2001,/m/ai_artificial_intelligence/
78,75%,The Cat's Meow (2001),124,2001,/m/cats_meow/
79,77%,Our Lady of the Assassins (2001),61,2001,/m/our_lady_of_the_assassins/
80,73%,Snatch (2001),139,2001,/m/snatch/
81,75%,Jimmy Neutron - Boy Genius (2001),75,2001,/m/jimmy_neutron_boy_genius/
82,73%,The Score (2001),128,2001,/m/1108799-score/
83,72%,Training Day (2001),155,2001,/m/training_day/
84,74%,Songcatcher (2001),88,2001,/m/songcatcher/
85,73%,Buffalo Soldiers (2001),114,2001,/m/buffalo-soldiers/
86,73%,Joy Ride (2001),113,2001,/m/joy_ride/
87,75%,Me You Them (2001),55,2001,/m/me_you_them/
88,74%,Tortilla Soup (2001),72,2001,/m/tortilla_soup/
89,73%,Before Night Falls (2001),98,2001,/m/before_night_falls/
90,72%,Brotherhood of the Wolf (2001),119,2001,/m/brotherhood_of_the_wolf/
91,73%,The Piano Teacher (La Pianiste) (2001),81,2001,/m/piano_teacher/
92,74%,Behind the Sun (2001),46,2001,/m/behind_the_sun/
93,72%,Fat Girl (2001),83,2001,/m/fat_girl/
94,71%,Made (2001),107,2001,/m/made/
95,72%,Chopper (2001),67,2001,/m/chopper/
96,72%,Das Experiment (The Experiment) (2001),65,2001,/m/1116582-experiment/
97,71%,Baby Boy (2001),92,2001,/m/baby_boy/
98,72%,Happy Accidents (2001),61,2001,/m/happy_accidents/
99,71%,The Lady and the Duke (2001),70,2001,/m/lady_and_the_duke/
100,71%,Bread & Tulips (2001),62,2001,/m/bread_and_tulips/
1,96%,The Lord of the Rings: The Two Towers (2002),248,2002,/m/the_lord_of_the_rings_the_two_towers/
2,98%,Spellbound (2002),137,2002,/m/1122382-spellbound/
3,96%,Catch Me If You Can (2002),195,2002,/m/catch_me_if_you_can/
4,96%,The Pianist (2002),178,2002,/m/pianist/
5,99%,Rivers and Tides: Andy Goldsworthy Working With Time (2002),71,2002,/m/rivers_and_tides_andy_goldsworthy_working_with_time/
6,96%,Bowling for Columbine (2002),163,2002,/m/bowling_for_columbine/
7,98%,The Man Without a Past (2002),95,2002,/m/man_without_a_past/
8,97%,Read My Lips (2002),95,2002,/m/read_my_lips/
9,94%,About a Boy (2002),185,2002,/m/about_a_boy/
10,95%,Monsoon Wedding (2002),119,2002,/m/monsoon_wedding/
11,92%,Insomnia (2002),200,2002,/m/1114154-insomnia/
12,96%,Elsker Dig For Evigt (2002),56,2002,/m/elsker_dig_for_evigt/
13,90%,Minority Report (2002),245,2002,/m/minority_report/
14,96%,Promises (2002),47,2002,/m/promises/
15,91%,Adaptation (2002),200,2002,/m/1118700-adaptation/
16,95%,Mou gaan dou (Infernal Affairs) (2002),61,2002,/m/infernal_affairs/
17,95%,The Trials of Henry Kissinger (2002),58,2002,/m/trials_of_henry_kissinger/
18,89%,Spider-Man (2002),236,2002,/m/spiderman/
19,92%,Talk to Her (2002),128,2002,/m/talk_to_her/
20,92%,The Kid Stays in the Picture (2002),110,2002,/m/kid_stays_in_the_picture/
21,92%,Bloody Sunday (2002),104,2002,/m/bloody_sunday/
22,93%,Knafayim Shvurot (Broken Wings) (2002),67,2002,/m/broken-wings/
23,92%,Nine Queens (Nueve reinas) (2002),93,2002,/m/nine_queens/
24,92%,Standing in the Shadows of Motown (2002),90,2002,/m/standing_in_the_shadows_of_motown/
25,93%,Scratch (2002),46,2002,/m/scratch_2002/
26,86%,Chicago (2002),244,2002,/m/chicago/
27,92%,Betty Fisher and Other Stories (2002),51,2002,/m/betty_fisher_and_other_stories/
28,90%,Lantana (2002),103,2002,/m/lantana/
29,90%,Atanarjuat: The Fast Runner (Atanarjuat) (2002),94,2002,/m/atanarjuat_the_fast_runner_2002/
30,91%,The Weather Underground (2002),57,2002,/m/the_weather_underground/
31,91%,Murderous Maids (2002),53,2002,/m/murderous_maids/
32,88%,Rabbit-Proof Fence (2002),140,2002,/m/rabbitproof_fence/
33,89%,Russian Ark (2002),101,2002,/m/russian_ark/
34,88%,Roger Dodger (2002),122,2002,/m/roger_dodger/
35,85%,About Schmidt (2002),201,2002,/m/about_schmidt/
36,90%,The Girl From Paris (2002),42,2002,/m/the_girl_from_paris/
37,89%,Baran (2002),62,2002,/m/baran/
38,86%,Lilo & Stitch (2002),145,2002,/m/lilo_and_stitch/
39,88%,Late Marriage (2002),64,2002,/m/late_marriage/
40,88%,I Am Trying to Break Your Heart (2002),59,2002,/m/i_am_trying_to_break_your_heart/
41,86%,Lovely & Amazing (2002),121,2002,/m/lovely_and_amazing/
42,85%,Monster's Ball (2002),142,2002,/m/monsters_ball/
43,88%,Springtime in a Small Town (Xiao cheng zhi chun) (2002),42,2002,/m/springtime-in-a-small-town/
44,82%,Harry Potter and the Chamber of Secrets (2002),230,2002,/m/harry_potter_and_the_chamber_of_secrets/
45,86%,24 Hour Party People (2002),99,2002,/m/24_hour_party_people/
46,85%,Spider (2002),130,2002,/m/1120292-spider/
47,87%,Metropolis (2002),60,2002,/m/metropolis_2002/
48,83%,The Bourne Identity (2002),185,2002,/m/bourne_identity/
49,83%,Narc (2002),156,2002,/m/narc/
50,86%,Son of the Bride (2002),57,2002,/m/son_of_the_bride/
51,83%,The Rookie (2002),151,2002,/m/1112954-rookie/
52,84%,Kissing Jessica Stein (2002),119,2002,/m/kissing_jessica_stein/
53,81%,Road to Perdition (2002),211,2002,/m/road_to_perdition/
54,86%,Lawless Heart (2002),51,2002,/m/lawless_heart/
55,85%,Blind Spot: Hitler's Secretary (2002),82,2002,/m/blind_spot_hitlers_secretary/
56,81%,One Hour Photo (2002),194,2002,/m/one_hour_photo/
57,81%,The Hours (2002),187,2002,/m/hours/
58,84%,La Stanza del Figlio (The Son's Room) (2002),82,2002,/m/la_stanza_del_figlio/
59,84%,Voyage de Morvern Callar (2002),76,2002,/m/voyage_de_morvern_callar/
60,80%,The Royal Tenenbaums (2002),201,2002,/m/the_royal_tenenbaums/
61,84%,Margaret Cho - Notorious C.H.O. (2002),68,2002,/m/margaret-cho-notorious-cho/
62,81%,The Good Girl (2002),156,2002,/m/good_girl/
63,82%,Barbershop (2002),124,2002,/m/barbershop/
64,84%,Elling (2002),58,2002,/m/elling/
65,83%,All or Nothing (2002),89,2002,/m/1117377-all_or_nothing/
66,83%,Real Women Have Curves (2002),84,2002,/m/real_women_have_curves/
67,81%,Stuart Little 2 (2002),122,2002,/m/stuart_little_2/
68,82%,The Believer (2002),90,2002,/m/the_believer/
69,79%,Punch-Drunk Love (2002),184,2002,/m/punchdrunk_love/
70,83%,Pauline & Paulette (2002),53,2002,/m/pauline_and_paulette/
71,82%,Drumline (2002),83,2002,/m/drumline/
72,83%,Satin Rouge (2002),47,2002,/m/satin_rouge/
73,81%,Better Luck Tomorrow (2002),103,2002,/m/better_luck_tomorrow/
74,82%,Secret Ballot (2002),57,2002,/m/secret_ballot/
75,79%,Antwone Fisher (2002),148,2002,/m/antwone_fisher/
76,82%,Gigantic (2002),45,2002,/m/gigantic/
77,80%,Sunshine State (2002),108,2002,/m/sunshine_state/
78,82%,Ghetto (2002),44,2002,/m/ghetto_2002/
79,79%,8 Women (8 Femmes) (2002),124,2002,/m/8_women/
80,80%,The Wild Thornberrys Movie (2002),88,2002,/m/wild_thornberrys_movie/
81,81%,Tully (2002),52,2002,/m/tully/
82,76%,8 Mile (2002),206,2002,/m/8_mile/
83,81%,Biggie and Tupac (2002),47,2002,/m/biggie_and_tupac/
84,77%,Ice Age (2002),165,2002,/m/ice_age/
85,79%,Last Orders (2002),89,2002,/m/last_orders/
86,77%,Changing Lanes (2002),151,2002,/m/changing_lanes/
87,76%,Panic Room (2002),182,2002,/m/panic_room/
88,75%,Gangs of New York (2002),202,2002,/m/gangs_of_new_york/
89,78%,Tadpole (2002),107,2002,/m/tadpole/
90,74%,Signs (2002),228,2002,/m/signs/
91,77%,Undercover Brother (2002),130,2002,/m/undercover_brother/
92,77%,Nicholas Nickleby (2002),123,2002,/m/1119037-nicholas_nickleby/
93,76%,Frida (2002),151,2002,/m/frida/
94,77%,The Dangerous Lives of Altar Boys (2002),110,2002,/m/dangerous_lives_of_altar_boys/
95,79%,Akai Hashi No Shita Noo Nurui Mizu (2002),42,2002,/m/akai_hashi_no_shita_noo_nurui_mizu/
96,76%,My Big Fat Greek Wedding (2002),129,2002,/m/my_big_fat_greek_wedding/
97,78%,11'09''01 - September 11 (2002),58,2002,/m/september_11/
98,75%,Secretary (2002),146,2002,/m/secretary/
99,75%,Igby Goes Down (2002),134,2002,/m/igby_goes_down/
100,76%,Comedian (2002),88,2002,/m/comedian/
1,99%,Finding Nemo (2003),254,2003,/m/finding_nemo/
2,95%,The Lord of the Rings: The Return of the King (2003),262,2003,/m/the_lord_of_the_rings_the_return_of_the_king/
